Albania,0.29
Algeria,0.28
Angola,0.43
Armenia,0.3
Australia,0.35
Austria,0.3
Azerbaijan,0.27
Bangladesh,0.32
Belarus,0.29
Belgium,0.28
Benin,0.43
Bhutan,0.39
Bolivia,0.46
Bosnia and Herzegovina,0.33
Botswana,0.6
Brazil,0.53
Bulgaria,0.36
Burkina Faso,0.4
Burundi,0.39
Cameroon,0.43
Canada,0.34
Cape Verde,0.47
Central African Republic,0.56
Chad,0.43
Chile,0.47
China,0.44
Colombia,0.55
Comoros,0.45
Congo,0.49
Costa Rica,0.48
Cote d'Ivoire,0.43
Croatia,0.32
Cyprus,0.31
Czechia,0.27
Democratic Republic of Congo,0.42
Denmark,0.27
Djibouti,0.45
Dominican Republic,0.47
East Timor,0.28
Ecuador,0.49
Egypt,0.3
El Salvador,0.44
Estonia,0.32
Eswatini,0.51
Ethiopia,0.33
Fiji,0.4
Finland,0.28
France,0.34
Gabon,0.42
Gambia,0.44
Georgia,0.39
Germany,0.3
Ghana,0.42
Greece,0.34
Guatemala,0.48
Guinea,0.34
Guinea-Bissau,0.51
Haiti,0.61
Honduras,0.53
Hungary,0.29
Iceland,0.26
India,0.35
Indonesia,0.37
Iran,0.35
Iraq,0.3
Ireland,0.32
Israel,0.43
Italy,0.35
Japan,0.32
Jordan,0.34
Kazakhstan,0.28
Kenya,0.41
Kiribati,0.37
Kosovo,0.33
Kyrgyzstan,0.3
Laos,0.36
Latvia,0.35
Lebanon,0.32
Liberia,0.36
Lithuania,0.34
Luxembourg,0.31
Madagascar,0.42
Malawi,0.45
Malaysia,0.44
Maldives,0.38
Mali,0.33
Malta,0.29
Mauritania,0.36
Mauritius,0.38
Mexico,0.48
Micronesia (country),0.4
Moldova,0.32
Mongolia,0.33
Montenegro,0.41
Morocco,0.4
Mozambique,0.46
Myanmar,0.38
Namibia,0.61
Nauru,0.32
Nepal,0.33
Netherlands,0.28
Nicaragua,0.44
Niger,0.31
Nigeria,0.36
North Macedonia,0.4
Norway,0.26
Pakistan,0.29
Palestine,0.35
Panama,0.52
Papua New Guinea,0.42
Paraguay,0.51
Peru,0.46
Philippines,0.42
Poland,0.33
Portugal,0.36
Romania,0.35
Russia,0.4
Rwanda,0.47
Saint Lucia,0.51
Samoa,0.42
Sao Tome and Principe,0.31
Senegal,0.4
Serbia,0.4
Seychelles,0.47
Sierra Leone,0.34
Slovakia,0.27
Slovenia,0.25
Solomon Islands,0.37
South Africa,0.63
South Korea,0.32
South Sudan,0.46
Spain,0.35
Sri Lanka,0.36
Sudan,0.35
Sweden,0.28
Switzerland,0.33
Syria,0.4
Taiwan,0.33
Tajikistan,0.31
Tanzania,0.38
Thailand,0.39
Togo,0.46
Tonga,0.37
Tunisia,0.36
Turkey,0.39
Tuvalu,0.39
Uganda,0.44
Ukraine,0.25
United Arab Emirates,0.33
United Kingdom,0.34
United States,0.4
Uruguay,0.44
Vanuatu,0.37
Venezuela,0.45
Vietnam,0.39
Yemen,0.37
Zambia,0.52
Zimbabwe,0.43
